Group,Motivation,Value
All,Physical health or fitness,63.6
All,Fun/enjoyment,58.4
All,To lose weight/keep weight off/tone,52.3
All,To be outdoors/to enjoy nature,50.2
All,Social reasons,44.2
All,Psychological/mental health/therapy,37.2
All,Sense of achievement,31.4
All,Hobby,27.9
All,Walk the dog,22.5
All,Training purposes,19.7
All,Learn a new skill,14.4
All,Performance or competition,14.4
All,Way of getting around,12.6
All,Physio/rehab/physical therapy/post-op,13.0
All,To be a good role model,8.9
All,Professional/part of my job,4.4
